https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1553817600000,2019-03-29 00:00:00,BTC/USDC,4014.99184715,4095.69318346,4007.99184735,4093.99999999,541148.28000978,133.046705,0,0,0,4067.35574556
1553731200000,2019-03-28 00:00:00,BTC/USDC,4023,4026.83076022,3993.85306144,4014.99184716,246762.23647453,61.53850716,0,0,0,4009.88336998
1553644800000,2019-03-27 00:00:00,BTC/USDC,3921,4034.6052424,3912.86007486,4025.99999994,733031.9782392,183.59384723,0,0,0,3992.68270314
1553558400000,2019-03-26 00:00:00,BTC/USDC,3908,3923.69680168,3881.06564556,3919.14609235,430812.52800659,110.17261349,0,0,0,3910.34136669
1553472000000,2019-03-25 00:00:00,BTC/USDC,3969.99999999,3979.95528219,3903.87102641,3908,560576.18278607,142.06832767,0,0,0,3945.8209439
1553385600000,2019-03-24 00:00:00,BTC/USDC,3981.56530814,3981.57030818,3944.65036119,3970,138979.64500202,35.04787851,0,0,0,3965.42247093
1553299200000,2019-03-23 00:00:00,BTC/USDC,3976.58038817,4003.05863804,3961.71255332,3982,217837.81989019,54.61552787,0,0,0,3988.5693389
1553212800000,2019-03-22 00:00:00,BTC/USDC,3975.00000001,3998.67561683,3959.24771962,3978.4947231,178395.9768711,44.79526895,0,0,0,3982.47361948
1553126400000,2019-03-21 00:00:00,BTC/USDC,4036.72646651,4055.00009988,3915.54388976,3975,1069640.68049444,268.87370363,0,0,0,3978.22719757
1553040000000,2019-03-20 00:00:00,BTC/USDC,3997.13791469,4039.68002732,3966.7235526,4036.82593711,605833.72896564,151.57651485,0,0,0,3996.88388115
1552953600000,2019-03-19 00:00:00,BTC/USDC,3972.07282533,4013.35047044,3951.3121998,4003.96299952,721146.33603783,181.11276017,0,0,0,3981.75333069
1552867200000,2019-03-18 00:00:00,BTC/USDC,3969.78897566,4017.09807821,3939,3972.68871397,2784071.24771235,697.49498415,0,0,0,3991.52870053
1552780800000,2019-03-17 00:00:00,BTC/USDC,3987.68722363,3987.68722363,3934.69401796,3969.92098824,501713.87736473,126.53040176,0,0,0,3965.16465913
1552694400000,2019-03-16 00:00:00,BTC/USDC,3905.76999906,4034.39039689,3895.76003834,3992.78799965,1005666.44546454,252.72550606,0,0,0,3979.28353628
1552608000000,2019-03-15 00:00:00,BTC/USDC,3858.39679152,3910,3849.23197438,3905.61999976,477414.46810223,122.69737018,0,0,0,3890.99185583
1552521600000,2019-03-14 00:00:00,BTC/USDC,3850.75844771,3910.09728001,3788.86849048,3857.01022816,844797.44527004,219.29587545,0,0,0,3852.31798608
1552435200000,2019-03-13 00:00:00,BTC/USDC,3863.93840534,3874.72294034,3826.94455675,3854.36560576,474391.65278357,123.15970477,0,0,0,3851.84142548
1552348800000,2019-03-12 00:00:00,BTC/USDC,3854.2593277,3878.29086502,3799.99999999,3862.98749065,678048.2577679,176.06399906,0,0,0,3851.14652278
1552262400000,2019-03-11 00:00:00,BTC/USDC,3898.02570019,3911,3820.97622173,3853,600248.53359746,155.71560649,0,0,0,3854.77440012
1552176000000,2019-03-10 00:00:00,BTC/USDC,3917.2882282,3920.529997,3874.69448682,3904.80062336,225212.32907294,57.80373866,0,0,0,3896.15506356
1552089600000,2019-03-09 00:00:00,BTC/USDC,3837.47005233,3942.1754726,3837.47005233,3926.13574997,477184.49995721,122.23949794,0,0,0,3903.68504451
1552003200000,2019-03-08 00:00:00,BTC/USDC,3859.64435161,3950,3777.00000003,3841.8471,1126946.16088011,291.16327459,0,0,0,3870.49555774
1551916800000,2019-03-07 00:00:00,BTC/USDC,3860,3891.00000003,3836.00857634,3861.92758616,664472.61185481,171.69044146,0,0,0,3870.17824757
1551830400000,2019-03-06 00:00:00,BTC/USDC,3842.5,3887.71527068,3810.51278134,3853.9301706,732355.94010308,190.41060165,0,0,0,3846.19308881
1551744000000,2019-03-05 00:00:00,BTC/USDC,3706.99999994,3866.92516536,3692.57983458,3841.55,557500.28835119,146.95815499,0,0,0,3793.59885396
1551657600000,2019-03-04 00:00:00,BTC/USDC,3791.92599993,3807.78297426,3672,3705.52999939,320555.81009779,86.17831277,0,0,0,3719.68073862
1551571200000,2019-03-03 00:00:00,BTC/USDC,3814.12953527,3820.34548167,3770,3781.77513844,283837.11589004,74.72781725,0,0,0,3798.27922633
1551484800000,2019-03-02 00:00:00,BTC/USDC,3806.88621949,3818.09018391,3763.81035873,3814.45509358,176864.70038022,46.52121421,0,0,0,3801.80748468
1551398400000,2019-03-01 00:00:00,BTC/USDC,3793.76587759,3840,3789.30000001,3809.03133616,564950.3654721,147.90733609,0,0,0,3819.62369417
1551312000000,2019-02-28 00:00:00,BTC/USDC,3804.3914202,3887.18454961,3753.7392773,3793.23715811,1150307.5478513,300.49514221,0,0,0,3828.04041153
1551225600000,2019-02-27 00:00:00,BTC/USDC,3790.16500731,3822,3657.00000001,3802.11208153,1248233.70507751,334.03026686,0,0,0,3736.88802757
