https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1649163600000,2022-04-05 13:00:00,BTC/USD,46779.64,46864.0,44367.86,44775.37,1053.97462329,47192103.72842037
1649131200000,2022-04-05 04:00:00,BTC/USD,46666.7,47183.93,44367.86,45193.4,980.58457997,44315951.1564162
1649077200000,2022-04-04 13:00:00,BTC/USD,46007.21,47183.93,45123.9,46779.64,1021.10259692,47766811.88698271
1649044800000,2022-04-04 04:00:00,BTC/USD,46019.34,46886.58,45123.9,46666.7,1031.87195844,48154059.12293195
1648990800000,2022-04-03 13:00:00,BTC/USD,46409.2,47450.0,45760.0,46007.21,700.25734761,32216886.84553627
1648958400000,2022-04-03 04:00:00,BTC/USD,45964.35,47450.0,45760.0,46019.34,578.31894922,26613856.352597915
1648904400000,2022-04-02 13:00:00,BTC/USD,46747.56,46955.8,45565.48,46409.2,401.90945564,18652296.308687884
1648872000000,2022-04-02 04:00:00,BTC/USD,46618.39,46955.8,45565.48,45964.35,441.26476673,20282448.180646077
1648818000000,2022-04-01 13:00:00,BTC/USD,45263.72,47206.57,45263.72,46747.56,831.16332222,38854857.275278784
1648785600000,2022-04-01 04:00:00,BTC/USD,44600.0,47206.57,44559.99,46618.39,926.64502436,43198699.13717398
1648731600000,2022-03-31 13:00:00,BTC/USD,47421.06,47636.87,44248.0,45263.72,1056.5150337,47821800.661187366
1648699200000,2022-03-31 04:00:00,BTC/USD,47108.13,47636.87,44248.0,44600.0,975.11947313,43490328.501598
1648645200000,2022-03-30 13:00:00,BTC/USD,47330.68,47713.72,46853.86,47421.06,665.29840825,31549155.735527743
1648612800000,2022-03-30 04:00:00,BTC/USD,47468.07,47713.72,46853.86,47108.13,654.38853283,30827020.07506491
1648558800000,2022-03-29 13:00:00,BTC/USD,47875.36,48042.18,46546.15,47330.68,756.89340568,35824279.57835026
1648526400000,2022-03-29 04:00:00,BTC/USD,47367.16,48138.6,46546.15,47468.07,869.47889372,41272484.99062352
1648472400000,2022-03-28 13:00:00,BTC/USD,47234.17,48217.83,46877.88,47875.36,1164.64357285,55757730.32187998
1648440000000,2022-03-28 04:00:00,BTC/USD,47058.74,48217.83,46785.99,47367.16,1117.30131518,52923390.164341494
1648386000000,2022-03-27 13:00:00,BTC/USD,44463.2,47611.55,44461.37,47234.17,1055.72732115,49866403.760843694
1648353600000,2022-03-27 04:00:00,BTC/USD,44725.15,47611.55,44461.37,47058.74,996.40586715,46889604.636686385
1648299600000,2022-03-26 13:00:00,BTC/USD,44391.91,44947.66,44158.46,44463.2,366.29440383,16286621.336374056
1648267200000,2022-03-26 04:00:00,BTC/USD,44439.25,44947.66,44158.46,44725.15,296.60198709,13265568.362898314
1648213200000,2022-03-25 13:00:00,BTC/USD,44869.62,45124.14,44035.5,44391.91,805.00891584,35735883.341166854
1648180800000,2022-03-25 04:00:00,BTC/USD,43984.86,45124.14,43596.03,44439.25,946.20929991,42048831.63102547
1648126800000,2022-03-24 13:00:00,BTC/USD,42838.58,44947.38,42616.51,44869.62,1090.31232161,48921899.551958494
1648094400000,2022-03-24 04:00:00,BTC/USD,42754.74,44395.48,42616.51,43984.86,1139.05458994,50101156.67086831
1648040400000,2022-03-23 13:00:00,BTC/USD,42396.13,43490.32,41976.31,42838.58,1111.38621001,47610207.06841019
1648008000000,2022-03-23 04:00:00,BTC/USD,42101.27,43295.15,41777.0,42754.74,1087.20253425,46483061.679199845
1647954000000,2022-03-22 13:00:00,BTC/USD,42983.63,43232.47,41777.0,42396.13,966.56131457,40978459.14548061
1647921600000,2022-03-22 04:00:00,BTC/USD,42240.26,43359.99,41929.87,42101.27,1406.95351993,59234530.02002331
1647867600000,2022-03-21 13:00:00,BTC/USD,41243.07,43359.99,40773.48,42983.63,1398.38803246,60107793.78368863
1647835200000,2022-03-21 04:00:00,BTC/USD,40861.3,42500.0,40758.16,42240.26,879.14193483,37135183.904122256
1647781200000,2022-03-20 13:00:00,BTC/USD,41687.52,41698.43,40529.07,41243.07,503.16730162,20752164.24242477
1647748800000,2022-03-20 04:00:00,BTC/USD,41969.76,42019.07,40529.07,40861.3,436.60516562,17840254.65394851
1647694800000,2022-03-19 13:00:00,BTC/USD,41888.88,42400.0,41350.0,41687.52,332.35969435,13855251.405409511
1647662400000,2022-03-19 04:00:00,BTC/USD,41815.86,42400.0,41575.81,41969.76,338.68768358,14214640.79480854
1647608400000,2022-03-18 13:00:00,BTC/USD,40466.85,42350.0,40332.75,41888.88,913.91116548,38282715.14145186
1647576000000,2022-03-18 04:00:00,BTC/USD,40555.62,42350.0,40179.68,41815.86,984.07453538,41149923.00101513
1647522000000,2022-03-17 13:00:00,BTC/USD,41037.11,41181.86,40179.68,40466.85,747.28403257,30240230.853405304
1647489600000,2022-03-17 04:00:00,BTC/USD,41025.46,41471.57,40283.13,40555.62,926.40332585,37570861.24990878
1647435600000,2022-03-16 13:00:00,BTC/USD,40391.06,41471.57,39345.11,41037.11,1791.03002453,73498696.12994032
1647403200000,2022-03-16 04:00:00,BTC/USD,39177.73,41471.57,38950.0,41025.46,1845.70382934,75720848.622435
1647349200000,2022-03-15 13:00:00,BTC/USD,38875.61,41702.89,38507.15,40391.06,1717.98499574,69391235.04203407
1647316800000,2022-03-15 04:00:00,BTC/USD,38767.4,41702.89,38110.23,39177.73,1527.79403963,59855502.380233444
1647262800000,2022-03-14 13:00:00,BTC/USD,38835.69,39917.17,38110.23,38875.61,894.06480547,34757314.692177586
1647230400000,2022-03-14 04:00:00,BTC/USD,38167.61,39917.17,38130.8,38767.4,976.64311422,37861914.26621243
1647176400000,2022-03-13 13:00:00,BTC/USD,38497.01,39301.33,37578.09,38835.69,705.20564166,27387147.685758844
1647144000000,2022-03-13 04:00:00,BTC/USD,39193.8,39309.13,37578.09,38167.61,591.62385782,22580868.671969213
1647090000000,2022-03-12 13:00:00,BTC/USD,39196.99,39467.28,38376.14,38497.01,364.22259811,14021481.00166665
1647057600000,2022-03-12 04:00:00,BTC/USD,39108.99,39467.28,38665.92,39193.8,305.52787374,11974798.377790814
1647003600000,2022-03-11 13:00:00,BTC/USD,39933.32,39959.9,38318.6,39196.99,797.51151535,31260050.892058793
